price,base,bed,bath,floor,lot,age,shopping,app,ubc,dt
899,1,10,5,3232,4036,91,0,0,10.8,4.2
899,1,9,5,3120,4036,88,0,0,10.8,4.2
988.888,1,6,4,2400,4125,23,1,1,11.3,6.1
999,1,6,4,2686,6762,63,1,0,11.6,6.8
1030,1,4,2,2017,3690,100,0,1,10.6,4.1
1130,0,3,2,1738,3450,4,1,1,11.5,5.1
1150,0,3,4,2312,4547.2,3,1,1,12,7
638,1,4,2,1666,4026,64,1,1,12.1,7.1
639,1,3,2,1800,4148,82,0,1,12.8,7.9
639,1,7,3,2375,3333,57,0,0,12.5,6.4
669,1,7,3,2200,3762,100,0,0,12.4,7.4
698.8,1,7,2,2040,3836,82,1,0,11.9,5.8
719.9,1,4,2,2465,4024,98,1,0,12.6,7.6
818,1,5,4,2406,4026,14,0,1,12.5,7.4
818,1,4,3,2923,4735.5,100,1,1,11.6,5.5
848.8,1,5,3,1930,4811.7,53,1,1,13.6,5.7
858,1,5,2,2257,6405,96,0,1,11.9,5.1
859,1,5,3,2415,4026,22,0,0,13,6.9
879,1,6,4,3181,4026,98,1,1,13.2,5.9
950,1,5,3,2400,6270,100,1,1,12.2,7.2
959,1,5,4,3580,5978,19,0,0,12,4.3
979,0,6,4,2892,3762,98,1,1,12.4,7.4
1149,1,5,5,2618,3007,7,0,0,12.9,5.4
1399,1,7,8,4400,5978,25,0,1,12.6,7.2
539,1,4,2,1740,3300,98,0,0,12.9,6.8
539.9,1,2,1,1800,3616.8,100,0,0,13.2,6.1
598,0,4,2,860,3432,70,0,1,13.1,6
619,1,2,2,915,4026,103,0,0,13.1,4.9
619,1,5,2,2106,3201,100,1,0,12.6,5.1
628.8,1,3,3,1792,3877.5,61,0,0,13.5,6.4
629.9,1,4,2,1600,5198,100,0,0,12.9,5.9
638,1,4,2,1700,4054,100,0,0,13.8,7.4
639,1,4,2,1680,4013.13,100,0,1,13.3,6.9
699,1,4,2,2594,4534.35,46,1,0,12.9,7.1
699.9,1,5,2,2100,4802,65,0,0,13.1,6.8
718,1,6,4,2500,5370.4,64,0,0,13.9,6.4
719,1,6,3,2015,3234,91,0,1,13.1,6.9
720,1,4,4,2170,3630,20,1,0,12.8,5.8
747,1,5,2,2100,4467.2,63,0,0,12.8,6.1
750,1,5,3,2455,3750,21,1,0,12.8,5.3
758,1,4,2,1620,4752,100,1,0,12.4,5.6
759,1,5,2,2084,3568,13,0,0,12.7,6.1
769,1,5,3,2300,4108.5,32,0,0,13.4,7.5
769,0,2,2,1500,5953.5,55,0,0,13.4,7
778.8,0,6,4,2120,3540,17,1,0,14.4,6.1
779,1,6,3,2396,5160,27,1,1,12.4,7.4
779.888,0,4,3,2421,3923.8,17,0,0,12.8,7.6
795,1,6,4,2142,3795,4,1,0,13,6.8
799,1,6,4,2240,4974.4,42,0,0,12.7,5.7
850,0,6,3,2600,3780,100,0,0,12.1,4.8
850,1,6,4,3100,5222.8,46,0,0,13.3,7.4
899,1,6,3,2850,4026,100,1,1,14.6,4.8
989,0,3,4,1880,3168,10,0,0,13.6,6.7
1130,0,4,4,2425,4026,6,1,0,13.8,7.9
1148,1,8,5,2885,4067.25,1,0,0,13.3,7.4
1198,1,7,6,3173,5280,4,0,0,12.6,7.5
1389,1,8,7,4210,6466,3,0,0,14.2,8.3
1480,0,6,5,3866.79,6344,6,1,0,13.3,7.5
649,1,4,2,1700,3850,100,0,0,14.4,7
649,1,4,2,1934,3960,48,0,0,15,6.6
649.9,1,5,2,2408,3580.5,100,1,0,14.5,5.6
649.9,1,4,3,1757,4455,100,0,0,14.9,6.4
650,1,5,2,1800,3856,100,0,0,14.5,7
669.8,1,6,3,1950,3696,100,0,1,13.9,6.9
698,1,5,3,2211,3813.8,63,0,0,14.8,6.4
739,0,3,2,1650,4059,37,1,0,14.4,6.3
748,1,5,3,2735,4407,30,1,0,14.4,5.5
749,1,6,4,2668,3986.8,37,1,0,13.1,6
789,1,6,3,2679,3399,5,1,1,13.9,6.6
848.888,0,4,1,1500,7000,100,1,0,14.8,7.4
928,1,7,4,2414,4026,1,1,0,13.3,5.9
938,1,6,4,2242,4139,11,0,0,13.9,7.3
938.8,1,5,5,2514,3630,1,1,0,14.8,6.7
968,1,5,4,2015,3303.65,1,1,0,13.9,7.2
988,0,7,4,2204,4026,3,0,1,15.4,6.7
999,1,8,5,2500,5259.2,3,0,0,14.1,8.3
1195,1,7,5,3607,5978,3,1,1,15.7,6.8
1230,1,7,4,2794,6860,8,1,1,14.3,7.1
1230,1,8,6,4419,7320,24,1,0,13.7,6.5
563,1,4,2,1536,4587,66,1,1,17.2,9.8
625,1,6,3,1910,3663,100,0,0,14,8.1
629,0,3,1,1050,3597,100,0,0,16.4,9.3
685,1,5,2,1800,3630,48,0,0,13.9,8.1
688,1,3,2,2022,4072,44,1,0,13.9,8
749.8,1,6,2,2300,5160,57,1,0,15.8,9.9
788,0,3,1,1860,4620,57,0,1,16,10.2
798,1,4,2,2330,5016,52,1,0,17.1,9.9
868,0,5,4,1900,2870.4,3,0,1,14.1,8.2
870,1,5,2,1500,6345,54,0,0,16.6,10.8
938,0,6,4,2204,4026,8,1,1,16,9
939,1,6,3,3216,5450,38,1,1,12.6,19
968,1,7,5,2318,4587,4,1,1,17,9.7
1068,0,6,4,2808,4680,13,1,1,14.8,8.9
1088,1,5,5,2650,4422,1,0,0,16.4,9.5
1128,0,6,5,2288,4440,2,0,0,15.1,9.3
1188,1,6,3,2539,5640,5,0,0,16.2,10.4
1250,1,7,4,3086,5148,16,0,1,14.6,8.7
1290,0,6,4,2538,5628,1,1,0,16.1,10.2
1498,1,9,6,3338,5531,3,0,0,16.5,10.6
1788,1,2,6,3701,6160,3,0,0,17.5,9.8
488,0,2,1,710,4153.7,100,0,0,15.5,8.2
529.8,1,4,1,752,3257,60,1,0,16.1,8.2
549.9,1,4,2,1700,3630,50,0,0,16.5,8.6
559.9,0,3,1,950,4200,64,0,0,17.1,9.8
569,1,4,2,1425,3300,59,1,0,16.2,8.5
609,1,4,2,1600,3506.25,100,0,0,17.4,10
618,1,5,2,1724,3300,63,0,0,16.2,7.7
619,1,3,2,2021,5035,52,0,0,16,7.6
619,1,4,2,1400,3680,100,0,0,15.2,7.2
625,1,3,2,1710,3920,100,0,0,16.7,9.1
628,1,3,2,1680,3498,58,0,0,15.3,7.8
629,1,5,3,2963,3481.5,100,0,0,16.8,9.5
629,0,2,2,1850,3784,100,1,0,14.7,7.2
649,1,2,2,1800,4708,49,1,0,16,8.3
650,1,7,4,3114,3458.4,100,0,1,16.6,9.2
665,1,5,2,1700,4811.4,55,1,0,16.4,9
669,1,7,6,2400,3820,100,0,0,15.6,8.3
699,0,6,2,2120,5280,52,1,0,15.9,8.2
720,1,5,2,1695,4686,63,1,1,14.6,7.4
725,1,5,4,2225,3415.5,66,1,1,16,8.8
739,1,7,3,2150,3481.5,100,1,0,16.1,8.9
748,1,6,3,2962,3960,28,0,0,16.1,8.7
759,1,6,2,2200,3630,67,1,0,14.3,7.1
768,1,6,2,2210,4125,43,0,0,16.9,9.6
819,0,3,4,2250,3269,1,1,0,15.8,8.5
838,0,6,3,2385,3481.5,37,0,0,16,8.7
879,1,7,4,2065,3663,2,1,0,15.1,7.9
898,1,6,4,2324,4587,3,1,0,17.1,9.9
1198,1,7,4,2805,10311.8,8,1,1,14.9,7.5
939.5,0,8,5,2832,4125,9,1,0,15.5,8.4
1300,1,6,4,2660,4455,29,1,0,16.7,8.7
